,timestamp,imsi,lac_id,cell_id
0,1538498482636,460000095007329090,16789.0,67567924.0
1,1538502547368,460000095007329090,16789.0,67567924.0
2,1538481509242,460000095007329090,16789.0,67567924.0
3,1538526105074,460000095007329090,16789.0,67200820.0
4,1538526153986,460000095007329090,16789.0,67200820.0
5,1538527924038,460000095007329090,16789.0,67200820.0
6,1538530014006,460000095007329090,16789.0,67200820.0
7,1538544930607,460000095007329090,16789.0,67475508.0
8,1538526826182,460000095007329090,16789.0,67200820.0
9,1538524523725,460000095007329090,16640.0,67195659.0
10,1538566688867,460000095007329090,16789.0,67314199.0
11,1538569125656,460000095007329090,16789.0,67313941.0
12,1538570726161,460000095007329090,16789.0,67681055.0
13,1538571972888,460000095007329090,16789.0,67567935.0
14,1538575863678,460000095007329090,16789.0,67567924.0
15,1538575888250,460000095007329090,16789.0,2614580.0
16,1538576395802,460000095007329090,16789.0,2614540.0
17,1538578553370,460000095007329090,16789.0,67567923.0
18,1538578877783,460000095007329090,16789.0,67567925.0
19,1538579072410,460000095007329090,16789.0,67567884.0
20,1538524497924,460000095007329090,16407.0,67197709.0
21,1538527143173,460000095007329090,16789.0,67200820.0
22,1538515124356,460000095007329090,16789.0,67567924.0
23,1538523400725,460000095007329090,16789.0,67567935.0
24,1538528374095,460000095007329090,16789.0,67200820.0
25,1538531216403,460000095007329090,16789.0,67483956.0
26,1538570030488,460000095007329090,16789.0,61397124.0
28,1538498939594,460000095007329090,16789.0,67567925.0
29,1538546115281,460000095007329090,16789.0,67475508.0
30,1538570275235,460000095007329090,16789.0,61397124.0
31,1538571934976,460000095007329090,16789.0,67567935.0
32,1538580137353,460000095007329090,16789.0,67567923.0
33,1538496291244,460000095007329090,16789.0,67567924.0
34,1538521429415,460000095007329090,16789.0,67567884.0
35,1538524428004,460000095007329090,16640.0,67195659.0
36,1538498982010,460000095007329090,16789.0,2614580.0
37,1538511911031,460000095007329090,16789.0,67567935.0
38,1538581892720,460000095007329090,16789.0,67436852.0
39,1538580957583,460000095007329090,16789.0,67567924.0
40,1538580974315,460000095007329090,16789.0,67567924.0
41,1538553061083,460000095007329090,16789.0,67475468.0
42,1538524272084,460000095007329090,16789.0,67494925.0
43,1538526638303,460000095007329090,16789.0,67200780.0
44,1538567896517,460000095007329090,16789.0,67314199.0
45,1538511930001,460000095007329090,16789.0,67567935.0
46,1538565896389,460000095007329090,16789.0,67314198.0
47,1538569369628,460000095007329090,16789.0,67314199.0
48,1538569921403,460000095007329090,16789.0,61397123.0
49,1538524967074,460000095007329090,16789.0,67200820.0
50,1538564226001,460000095007329090,16789.0,67475508.0
51,1538496435651,460000095007329090,16789.0,67567884.0
52,1538569862889,460000095007329090,16789.0,67572236.0
53,1538501287191,460000095007329090,16789.0,67567925.0
54,1538575066000,460000095007329090,16789.0,67567935.0
